year,c,d
1999,7.588764451108782,330
2000,7.3338597896827284,327
2001,7.042638757310809,456
2002,7.188125271788614,509
2003,7.283586059925205,497
2004,7.291841451049032,596
2005,7.315438610115941,573
2006,7.378339162457958,661
2007,7.411141162280501,741
2008,7.410926950712759,809
2009,7.580988981542858,717
2010,7.438706154381986,684
2011,7.8439505959442215,692
2012,7.932596785969864,798
2013,7.780735968786952,903
2014,7.796461489499215,913
2015,8.066128917960711,979
2016,8.129237661619145,922
2017,8.120700981563386,1044
2018,8.526528583153,940
2019,8.58704903417133,1070
