Country,LPI,Customs,Infrastructure,International shipments,Logistics quality and competence,Tracking and tracing,Timeliness
Germany,4.20,4.09,4.37,3.86,4.31,4.24,4.39
Sweden,4.05,4.05,4.24,3.92,3.98,3.88,4.28
Belgium,4.04,3.66,3.98,3.99,4.13,4.05,4.41
Austria,4.03,3.71,4.18,3.88,4.08,4.09,4.25
Japan,4.03,3.99,4.25,3.59,4.09,4.05,4.25
Netherlands,4.02,3.92,4.21,3.68,4.09,4.02,4.25
Singapore,4.00,3.89,4.06,3.58,4.10,4.08,4.32
Denmark,3.99,3.92,3.96,3.53,4.01,4.18,4.41
United Kingdom,3.99,3.77,4.03,3.67,4.05,4.11,4.33
Finland,3.97,3.82,4.00,3.56,3.89,4.32,4.28
United Arab Emirates,3.96,3.63,4.02,3.85,3.92,3.96,4.38
"Hong Kong SAR, China",3.92,3.81,3.97,3.77,3.93,3.92,4.14
Switzerland,3.90,3.63,4.02,3.51,3.97,4.10,4.24
United States,3.89,3.78,4.05,3.51,3.87,4.09,4.08
New Zealand,3.88,3.71,3.99,3.43,4.02,3.92,4.26
France,3.84,3.59,4.00,3.55,3.84,4.00,4.15
Spain,3.83,3.62,3.84,3.83,3.80,3.83,4.06
Australia,3.75,3.87,3.97,3.25,3.71,3.82,3.98
Italy,3.74,3.47,3.85,3.51,3.66,3.85,4.13
Canada,3.73,3.60,3.75,3.38,3.90,3.81,3.96
Norway,3.70,3.52,3.69,3.43,3.69,3.94,3.94
Czech Republic,3.68,3.29,3.46,3.75,3.72,3.70,4.13
Portugal,3.64,3.17,3.25,3.83,3.71,3.72,4.13
Luxembourg,3.63,3.53,3.63,3.37,3.76,3.61,3.90
"Korea, Rep.",3.61,3.40,3.73,3.33,3.59,3.75,3.92
China,3.61,3.29,3.75,3.54,3.59,3.65,3.84
"Taiwan, China",3.60,3.47,3.72,3.48,3.57,3.67,3.72
Poland,3.54,3.25,3.21,3.68,3.58,3.51,3.95
Ireland,3.51,3.36,3.29,3.42,3.60,3.62,3.76
Qatar,3.47,3.00,3.38,3.75,3.42,3.56,3.70
Hungary,3.42,3.35,3.27,3.22,3.21,3.67,3.79
Thailand,3.41,3.14,3.14,3.46,3.41,3.47,3.81
South Africa,3.38,3.17,3.19,3.51,3.19,3.41,3.74
Chile,3.32,3.27,3.21,3.27,3.13,3.20,3.80
Slovenia,3.31,3.42,3.26,3.19,3.05,3.27,3.70
Estonia,3.31,3.32,3.10,3.26,3.15,3.21,3.80
Israel,3.31,3.32,3.33,2.78,3.39,3.50,3.59
Panama,3.28,2.87,3.13,3.31,3.33,3.40,3.60
Vietnam,3.27,2.95,3.01,3.16,3.40,3.45,3.67
Iceland,3.23,2.77,3.19,2.79,3.61,3.35,3.70
Malaysia,3.22,2.90,3.15,3.35,3.30,3.15,3.46
Greece,3.20,2.84,3.17,3.30,3.06,3.18,3.66
Oman,3.20,2.87,3.16,3.30,3.05,2.97,3.80
India,3.18,2.96,2.91,3.21,3.13,3.32,3.50
Cyprus,3.15,3.05,2.89,3.15,3.00,3.15,3.62
Indonesia,3.15,2.67,2.90,3.23,3.10,3.30,3.67
Turkey,3.15,2.71,3.21,3.06,3.05,3.23,3.63
Romania,3.12,2.58,2.91,3.18,3.07,3.26,3.68
Croatia,3.10,2.98,3.01,2.93,3.10,3.01,3.59
Côte d'Ivoire,3.08,2.78,2.89,3.21,3.23,3.14,3.23
Mexico,3.05,2.77,2.85,3.10,3.02,3.00,3.53
Bulgaria,3.03,2.94,2.76,3.23,2.88,3.02,3.31
Slovak Republic,3.03,2.79,3.00,3.10,3.14,2.99,3.14
Lithuania,3.02,2.85,2.73,2.79,2.96,3.12,3.65
Saudi Arabia,3.01,2.66,3.11,2.99,2.86,3.17,3.30
Brazil,2.99,2.41,2.93,2.88,3.09,3.11,3.51
Rwanda,2.97,2.67,2.76,3.39,2.85,2.75,3.35
Colombia,2.94,2.61,2.67,3.19,2.87,3.08,3.17
Bahrain,2.93,2.67,2.72,3.02,2.86,3.01,3.29
Philippines,2.90,2.53,2.73,3.29,2.78,3.06,2.98
Argentina,2.89,2.42,2.77,2.92,2.78,3.05,3.37
Ecuador,2.88,2.80,2.72,2.75,2.75,3.07,3.19
Kuwait,2.86,2.73,3.02,2.63,2.80,2.66,3.37
"Iran, Islamic Rep.",2.85,2.63,2.77,2.76,2.84,2.77,3.36
Serbia,2.84,2.60,2.60,2.97,2.70,2.79,3.33
Ukraine,2.83,2.49,2.22,2.83,2.84,3.11,3.42
"Egypt, Arab Rep.",2.82,2.60,2.82,2.79,2.82,2.72,3.19
Kenya,2.81,2.65,2.55,2.62,2.81,3.07,3.18
Malta,2.81,2.70,2.90,2.70,2.80,2.80,3.01
Latvia,2.81,2.80,2.98,2.74,2.69,2.79,2.88
Kazakhstan,2.81,2.66,2.55,2.73,2.58,2.78,3.53
Bosnia and Herzegovina,2.81,2.63,2.42,2.84,2.80,2.89,3.21
Costa Rica,2.79,2.63,2.49,2.78,2.70,2.96,3.16
Paraguay,2.78,2.64,2.55,2.69,2.72,2.61,3.45
Russian Federation,2.76,2.42,2.78,2.64,2.75,2.65,3.31
Benin,2.75,2.56,2.50,2.73,2.50,2.75,3.42
Montenegro,2.75,2.56,2.57,2.68,2.72,2.58,3.33
Mauritius,2.73,2.71,2.80,2.12,2.86,3.00,3.00
Lebanon,2.72,2.38,2.64,2.80,2.47,2.80,3.18
Brunei Darussalam,2.71,2.62,2.46,2.51,2.71,2.75,3.17
"Macedonia, FYR",2.70,2.45,2.47,2.84,2.74,2.64,3.03
Lao PDR,2.70,2.61,2.44,2.72,2.65,2.91,2.84
Peru,2.69,2.53,2.28,2.84,2.42,2.55,3.45
Jordan,2.69,2.49,2.72,2.44,2.55,2.77,3.18
Uruguay,2.69,2.51,2.43,2.73,2.71,2.78,2.91
Maldives,2.67,2.40,2.72,2.66,2.29,2.60,3.32
Dominican Republic,2.66,2.41,2.36,2.77,2.44,2.97,2.98
Albania,2.66,2.35,2.29,2.82,2.56,2.67,3.20
São Tomé and Principe,2.65,2.71,2.33,2.42,2.65,2.78,3.01
Djibouti,2.63,2.35,2.79,2.45,2.25,2.85,3.15
Burkina Faso,2.62,2.41,2.43,2.92,2.46,2.40,3.04
Armenia,2.61,2.57,2.48,2.65,2.50,2.51,2.90
Honduras,2.60,2.24,2.47,2.66,2.72,2.68,2.83
Sri Lanka,2.60,2.58,2.49,2.51,2.42,2.79,2.79
Cameroon,2.60,2.46,2.57,2.87,2.60,2.47,2.57
Mali,2.59,2.15,2.30,2.70,2.45,3.08,2.83
Malawi,2.59,2.43,2.18,2.55,2.68,2.67,2.98
Cambodia,2.58,2.37,2.14,2.79,2.41,2.52,3.16
Uzbekistan,2.58,2.10,2.57,2.42,2.59,2.71,3.09
Bangladesh,2.58,2.30,2.39,2.56,2.48,2.79,2.92
El Salvador,2.58,2.30,2.25,2.71,2.56,2.47,3.10
Uganda,2.58,2.61,2.19,2.76,2.50,2.41,2.90
Belarus,2.57,2.35,2.44,2.31,2.64,2.54,3.18
Solomon Islands,2.57,2.77,2.21,2.20,2.73,2.37,3.12
Tunisia,2.57,2.38,2.10,2.50,2.30,2.86,3.24
